layer_name,vgg_low,vgg_mid,vgg_high,color,texture,composition,style_score
down_blocks.1.attentions.0.png,8.909741275394275,8.223573807236995,9.874314385595538,7.616049647331238,9.591066445028236,9.886542019288724,8.032044726378665
down_blocks.1.attentions.1.png,9.430425449542883,8.94940067876812,9.881710981252045,7.239125967025757,9.944237222486548,9.830029915230279,8.247208070322737
down_blocks.2.attentions.0.png,9.2577972084904,8.497643121669455,9.888009630484968,7.947970628738403,9.923891647520545,9.887666550017752,8.240945646620814
down_blocks.2.attentions.1.png,8.765541526432363,8.038894661225065,9.893645272997782,7.39916205406189,9.82878661844847,9.86524139272272,7.977373392308361
mid_block.attentions.0.png,9.171594612345702,8.518511097193128,9.85915983757833,7.481769323348999,9.940544049937408,9.879556932689677,8.159618086189159
up_blocks.0.attentions.0.png,9.122571868222915,7.964087420620273,9.821018240635668,7.799510359764099,9.935012290134384,9.836817580263219,8.078216155963936
up_blocks.0.attentions.1.png,9.775219433418279,9.36960129045758,9.920205874897283,9.835941791534424,9.976010596769404,9.881370192645274,8.78816393184895
up_blocks.0.attentions.2.png,9.01124910321056,8.31944075341417,9.875479588123993,7.712999582290649,9.853543179576521,9.860761071474071,8.1179549758105
up_blocks.1.attentions.0.png,8.697601998313832,7.977908100425454,9.851403972511234,7.691543102264404,9.72173606562829,9.877209498136104,7.977645340706365
up_blocks.1.attentions.1.png,8.839226773587495,8.124521554987478,9.864086742417644,7.788681387901306,9.619163851694262,9.880059747216567,8.029584099059258
up_blocks.1.attentions.2.png,8.774741688592911,8.01376395056063,9.86554678517216,8.026831150054932,9.772470068434767,9.881914949304782,8.05688273888082
